dataset,seed,k,r_mean_k,r_std_k,r_slope_k,r_max_k,dev_k,val_delta_k,final_fixed_r10,final_cf_r10,final_delta,collapse_label
ml1m,42,5,0.8252213690811633,0.020478669772470554,0.003363999831192931,0.8381740999638796,0.17477863091883675,0.007599999999999996,0.05156518456849877,0.05273364546413173,-0.022157787221548406,0
ml1m,42,10,0.8262391173267752,0.014679087023853536,0.0004460359687839486,0.8381740999638796,0.17376088267322462,-0.001700000000000007,0.05156518456849877,0.05273364546413173,-0.022157787221548406,0
ml1m,123,3,0.8168014629434255,0.030073265444900642,0.010217905196167448,0.8427671189167465,0.1831985370565744,0.3839,0.05051710389869641,0.05223425055071282,-0.03287395978461304,0
ml1m,123,5,0.8268629227847522,0.026387255352734933,0.004546953023772728,0.844074668591545,0.1731370772152478,0.008599999999999997,0.05051710389869641,0.05223425055071282,-0.03287395978461304,0
ml1m,123,10,0.831346377598303,0.019299442395220183,0.0010526723088556,0.844074668591545,0.16865362240169698,-0.0050000000000000044,0.05051710389869641,0.05223425055071282,-0.03287395978461304,0
ml1m,999,3,0.8096480282335601,0.023913456309667507,0.00802615268696953,0.8295216570641045,0.1903519717664398,0.3708,0.05052542396388236,0.052742965621509375,-0.04204431115038819,0
ml1m,999,5,0.8157778534000636,0.019987381551892055,0.0032050242799415048,0.8295216570641045,0.1842221465999367,-0.0025000000000000022,0.05052542396388236,0.052742965621509375,-0.04204431115038819,0
ml1m,999,10,0.8180921358749057,0.01440076098467376,0.0005949591576595977,0.8295216570641045,0.18190786412509424,0.0016000000000000042,0.05052542396388236,0.052742965621509375,-0.04204431115038819,0
ml1m,2024,3,0.8185119799600497,0.02762300810694085,0.009353083833410523,0.8421050858726135,0.18148802003995027,0.3921,0.051624473319606276,0.053870197427919764,-0.041687690327785756,0
ml1m,2024,5,0.8268700675986952,0.023854925187890084,0.0038900290200064008,0.843423623502375,0.1731299324013048,0.0016000000000000042,0.051624473319606276,0.053870197427919764,-0.041687690327785756,0
ml1m,2024,10,0.828006908553295,0.01707115964943222,0.0005239999478710665,0.843423623502375,0.17199309144670485,-0.0007999999999999952,0.051624473319606276,0.053870197427919764,-0.041687690327785756,0
ml1m,2025,3,0.8262488880602434,0.031447132883024975,0.010773254174020532,0.854122440988913,0.17375111193975662,0.3543,0.052136106321784934,0.050940116082501284,0.02347835716202877,0
ml1m,2025,5,0.8343412605193985,0.026307490443897366,0.004223420973324806,0.854122440988913,0.16565873948060156,0.008499999999999994,0.052136106321784934,0.050940116082501284,0.02347835716202877,0
ml1m,2025,10,0.8342977130177208,0.01875583108041591,0.00043421908168938715,0.854122440988913,0.1657022869822789,0.005199999999999996,0.052136106321784934,0.050940116082501284,0.02347835716202877,0
yelp,42,3,0.5793582673627955,0.03685639746731915,-0.007939698189968605,0.6283185046373572,0.42064173263720456,-0.0203,0.008577688265728713,0.017825791550011315,-0.5188046352846489,1
yelp,42,5,0.560616269259837,0.03663971122036866,-0.004390953155895279,0.6283185046373572,0.43938373074016307,-0.0203,0.008577688265728713,0.017825791550011315,-0.5188046352846489,1
yelp,42,10,0.5549389066860294,0.02760629067082284,-0.0007057439802644374,0.6283185046373572,0.44506109331397053,-0.013700000000000002,0.008577688265728713,0.017825791550011315,-0.5188046352846489,1
yelp,123,3,0.5793031048706538,0.03620061070721187,-0.007799655145438238,0.6273763463401336,0.4206968951293461,-0.0225,0.0073951837114770965,0.017761259035792065,-0.583634037589445,1
yelp,123,5,0.5603602552731648,0.03639430382699297,-0.00440943501920469,0.6273763463401336,0.43963974472683526,-0.0225,0.0073951837114770965,0.017761259035792065,-0.583634037589445,1
